,answer_name,answer_agreement,answer_price,answer_satisfaction,city,model_landlord,model_renter,renter_name,experiment_id,interview_partner,correct_character
28,Peter Schmidt,Yes,690,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b44757f9-245a-4beb-bfab-3120fb11b121,landlord,1.0
29,Emilia Müller,Yes,690,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b44757f9-245a-4beb-bfab-3120fb11b121,renter,1.0
30,Peter Schmidt,Yes,1.000,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b6281f9e-a8e1-4888-95f1-29a8ff065052,landlord,1.0
31,Emilia Müller,Yes,1.000,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b6281f9e-a8e1-4888-95f1-29a8ff065052,renter,1.0
32,Peter Schmidt,No,800,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b6fa4b87-4c54-467a-bc85-39b3c9d3e3c1,landlord,1.0
33,Emilia Müller,No,Null,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b6fa4b87-4c54-467a-bc85-39b3c9d3e3c1,renter,1.0
34,Peter Schmidt,Yes,680,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,c20dd6f3-6421-405c-b9ab-e63272520fb3,landlord,1.0
35,Emilia Müller,Yes,680,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,c20dd6f3-6421-405c-b9ab-e63272520fb3,renter,1.0
36,Peter Schmidt,Yes,650,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,c34c3056-c62c-47ed-bbd0-62a5399c0fd4,landlord,1.0
37,Emilia Müller,Yes,650,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,c34c3056-c62c-47ed-bbd0-62a5399c0fd4,renter,1.0
38,Peter Schmidt,Yes,700,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,c506cd9d-b4f0-4f01-8d90-f39cef54a429,landlord,1.0
39,Emilia Müller,Yes,700,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,c506cd9d-b4f0-4f01-8d90-f39cef54a429,renter,1.0
40,Peter Schmidt,Yes,900,10.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,d5465be5-b8a9-4475-8b8e-7c04ce2edee2,landlord,1.0
41,Emilia Müller,Yes,900,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,d5465be5-b8a9-4475-8b8e-7c04ce2edee2,renter,1.0
42,Peter Schmidt,No,1.150,1.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,d900a0ee-b5f5-4f16-b812-888c7105e0ee,landlord,1.0
43,Emilia Müller,No,1.150,1.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,d900a0ee-b5f5-4f16-b812-888c7105e0ee,renter,1.0
44,Peter Schmidt,No,950,2.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,f18aa25b-a6b2-453c-9d69-46a27466309f,landlord,1.0
45,Emilia Müller,No,950,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,f18aa25b-a6b2-453c-9d69-46a27466309f,renter,1.0
46,Peter Schmidt,Yes,1.150,9.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,f29a9ec3-0d68-4348-b851-b54cf501a8c0,landlord,1.0
47,Emilia Müller,Yes,1.150,9.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,f29a9ec3-0d68-4348-b851-b54cf501a8c0,renter,1.0
48,Peter Schmidt,Yes,800,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,f3393fa6-dcb6-4ba7-b9b3-5fda03cffe95,landlord,1.0
49,Emilia Müller,Yes,800,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,f3393fa6-dcb6-4ba7-b9b3-5fda03cffe95,renter,1.0
50,Emilia Müller,Yes,750,10.0,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,0f203699-f8c0-4d1b-b351-f9dd7e5ebe49,renter,1.0
51,Emilia Müller,Yes,625,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,269d44df-fa62-443f-bfd9-0328a32b100e,renter,1.0
52,Emilia Müller,Yes,1.100,10.0,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,2c8513be-70bf-4d94-9286-9c2aeacd131f,renter,1.0
53,Emilia Müller,Yes,1.050,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,2d4c17b0-f27d-4542-b7a0-1f46bfc5e4c2,renter,1.0
54,Emilia Müller,Yes,850,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,2dd03c5b-738d-41b0-a89f-6815f4a189bc,renter,1.0
55,Emilia Müller,Yes,800,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,2f4b4c54-e4ca-4671-acf1-85fecc5b1e5a,renter,1.0
56,Emilia Müller,Yes,837,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,2fdc2045-ba90-4d4a-be64-e0ac7d76e152,renter,1.0
57,Emilia Müller,Yes,675,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,3c4a33cd-3c27-46fa-a9e5-614187e4d3ae,renter,1.0
58,Emilia Müller,Yes,550,9.0,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,3e45bb8a-95dc-4d00-91e2-549f1cde3105,renter,1.0
59,Emilia Müller,Yes,940,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,482ed77f-8c9c-4c23-8a7e-76a6fc880a96,renter,1.0
60,Emilia Müller,Yes,850,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,4a3a1631-a3f1-43b2-91ec-d1cbc42daaf9,renter,1.0
61,Emilia Müller,No,Null,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,6b07fb01-7e5e-4210-b999-7bebd471f0b3,renter,1.0
62,Emilia Müller,Yes,750,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,6bea08dd-3db4-473d-bd53-32fe480e5282,renter,1.0
63,Emilia Müller,Yes,1.150,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,6f1c953a-22a3-43ce-b538-8bd28010acae,renter,1.0
64,Emilia Müller,Yes,740,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,8eaef3b7-476f-4fa8-bb73-70cf524ff3cc,renter,1.0
65,Emilia Müller,Yes,850,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,a78908e0-babb-4b7a-8ab3-5545f80a9054,renter,1.0
66,Emilia Müller,Yes,840,8.0,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,c85b1dba-409c-4c1d-98cd-47ca3a5f61cb,renter,1.0
67,Emilia Müller,Yes,1.300,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,d8fd1b46-d786-410a-8915-afdae80af200,renter,1.0
68,Emilia Müller,No,Null,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,e0816699-c48d-4b82-a5de-5ee1e18e9df0,renter,1.0
69,Emilia Müller,Yes,750,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,e85fe91a-a539-4361-abf0-5ff34c4f07f8,renter,1.0
70,Emilia Müller,Yes,700,Null,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,ea386f82-42ce-49e6-b251-b294cd251f77,renter,1.0
71,Emilia Müller,Yes,850,8.0,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,f7906523-af9d-4d68-bc92-e808135272ba,renter,1.0
72,Emilia Müller,Yes,725,10.0,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,fac1dc6b-5351-4b4e-8fcc-c72d75a0685e,renter,1.0
73,Emilia Müller,No,600,5.0,Magdeburg,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,fb39feef-e12a-4848-943b-4d3c40ac085a,renter,1.0
74,Peter Schmidt,Yes,750,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,04461c57-b4dd-437e-b255-dc231ab21ae1,landlord,1.0
75,Emilia Müller,Yes,750,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,04461c57-b4dd-437e-b255-dc231ab21ae1,renter,1.0
76,Peter Schmidt,No,Null,0.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,0f5843e1-e768-462a-8929-f20453cecc73,landlord,1.0
77,Emilia Müller,No,Null,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,0f5843e1-e768-462a-8929-f20453cecc73,renter,1.0
78,Peter Schmidt,Yes,1.100,8.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,270fb92c-bc84-4fc9-94f0-ac33d803b691,landlord,1.0
79,Emilia Müller,Yes,1.100,8.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,270fb92c-bc84-4fc9-94f0-ac33d803b691,renter,1.0
80,Peter Schmidt,Yes,875,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,322726d9-1169-48c1-84e1-7191b24a3cf1,landlord,1.0
81,Emilia Müller,Yes,875,7.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,322726d9-1169-48c1-84e1-7191b24a3cf1,renter,1.0
82,Peter Schmidt,Yes,1000,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,3956da9a-9e59-446e-b4e4-4f4c90a56df1,landlord,1.0
83,Emilia Müller,Yes,1000,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,3956da9a-9e59-446e-b4e4-4f4c90a56df1,renter,1.0
84,Peter Schmidt,No,Null,5.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,3d1ea79a-18a3-4c5e-8751-5638f0e18b25,landlord,1.0
85,Emilia Müller,No,Null,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,3d1ea79a-18a3-4c5e-8751-5638f0e18b25,renter,1.0
86,Peter Schmidt,Yes,1.050,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,51ef765a-5492-4917-930b-231e47db9eed,landlord,1.0
87,Emilia Müller,Yes,1050,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,51ef765a-5492-4917-930b-231e47db9eed,renter,1.0
88,Peter Schmidt,No,Null,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,57dde7f2-fe96-4410-802e-20b3e6e2476c,landlord,1.0
89,Emilia Müller,Yes,1.400,8.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,57dde7f2-fe96-4410-802e-20b3e6e2476c,renter,1.0
90,Peter Schmidt,Yes,900,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,5a7a941e-b611-4f95-a553-1b571db99e14,landlord,1.0
91,Emilia Müller,Yes,900,10.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,5a7a941e-b611-4f95-a553-1b571db99e14,renter,1.0
92,Peter Schmidt,Yes,900,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,809cdc7e-2bb5-40d2-a527-aaee5fef0922,landlord,1.0
93,Emilia Müller,Yes,900,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,809cdc7e-2bb5-40d2-a527-aaee5fef0922,renter,1.0
94,Peter Schmidt,No,Null,1.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,84cdfc5a-5ac3-4961-9118-e3464b074270,landlord,1.0
95,Emilia Müller,No,Null,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,84cdfc5a-5ac3-4961-9118-e3464b074270,renter,1.0
96,Peter Schmidt,Yes,950,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,8606b9af-c273-4a6e-a21e-e3713092a78f,landlord,1.0
97,Emilia Müller,Yes,950,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,8606b9af-c273-4a6e-a21e-e3713092a78f,renter,1.0
98,Peter Schmidt,Yes,1.350,7.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,88ebfa6b-814d-4590-9473-f77f9b7fa9dc,landlord,1.0
99,Emilia Müller,Yes,1.350,9.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,88ebfa6b-814d-4590-9473-f77f9b7fa9dc,renter,1.0
100,Peter Schmidt,Yes,600,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,8e214a58-7429-4cc0-b207-571cb660d6c4,landlord,1.0
101,Emilia Müller,Yes,600,7.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,8e214a58-7429-4cc0-b207-571cb660d6c4,renter,1.0
102,Peter Schmidt,No,Null,5.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,9b90512b-9635-49cb-a830-35d965c493b5,landlord,1.0
103,Emilia Müller,No,Null,5.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,9b90512b-9635-49cb-a830-35d965c493b5,renter,1.0
104,Peter Schmidt,Yes,1.300,8.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b0126be9-8e4f-4054-b6f2-2078f9c3f966,landlord,1.0
105,Emilia Müller,Yes,1.350,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b0126be9-8e4f-4054-b6f2-2078f9c3f966,renter,1.0
106,Peter Schmidt,Yes,1.050,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b11bc480-9d8d-4cac-8fcb-4657e407ad09,landlord,1.0
107,Emilia Müller,Yes,1050,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b11bc480-9d8d-4cac-8fcb-4657e407ad09,renter,1.0
108,Peter Schmidt,Yes,1075,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b9674d0b-1ca4-4a64-ba40-500fbcfb1325,landlord,1.0
109,Emilia Müller,Yes,1075,8.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,b9674d0b-1ca4-4a64-ba40-500fbcfb1325,renter,1.0
110,Peter Schmidt,Yes,935,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,bdf22929-1584-47cf-b8f8-f1552b7bb04b,landlord,1.0
111,Emilia Müller,Yes,935,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,bdf22929-1584-47cf-b8f8-f1552b7bb04b,renter,1.0
112,Peter Schmidt,No,Null,1.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,bef7870f-6a05-4ae7-bfe5-2162a74d10c7,landlord,1.0
113,Emilia Müller,No,Null,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,bef7870f-6a05-4ae7-bfe5-2162a74d10c7,renter,1.0
114,Peter Schmidt,Yes,950,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,c85e0920-09e6-4f55-9740-78938549efe1,landlord,1.0
115,Emilia Müller,Yes,950,7.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,c85e0920-09e6-4f55-9740-78938549efe1,renter,1.0
116,Emilia Müller,No,Null,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,d9402824-e745-41c9-94a4-9781c76c66a4,landlord,0.0
117,Emilia Müller,No,Null,0.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,d9402824-e745-41c9-94a4-9781c76c66a4,renter,1.0
118,Peter Schmidt,No,1.100,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,dd055480-6726-454f-8e56-05bd6615e882,landlord,1.0
119,Emilia Müller,No,Null,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,dd055480-6726-454f-8e56-05bd6615e882,renter,1.0
120,Peter Schmidt,No,Null,0.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,dff94b88-c042-4482-93ab-d3e9fd07033b,landlord,1.0
121,Emilia Müller,No,Null,1.0,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,dff94b88-c042-4482-93ab-d3e9fd07033b,renter,1.0
122,Peter Schmidt,Yes,1025,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,e8cb740b-d41b-4959-bc0a-1d21547612a3,landlord,1.0
123,Emilia Müller,Yes,1025,Null,München,Yi-34B-Chat,Yi-34B-Chat,Emilia Müller,e8cb740b-d41b-4959-bc0a-1d21547612a3,renter,1.0
124,Peter Schmidt,Yes,650,9.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,12910e18-7bae-4bb5-baae-3cca3b8a94bd,landlord,1.0
125,Peter Schmidt,Yes,650,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,12910e18-7bae-4bb5-baae-3cca3b8a94bd,renter,0.0
126,Peter Schmidt,No,Null,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,21943dc2-cacb-49c4-ac63-2275d51715b8,landlord,1.0
127,Farhad Abbasi,No,Null,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,21943dc2-cacb-49c4-ac63-2275d51715b8,renter,1.0
128,Peter Schmidt,No,Null,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,2ef5a801-c681-4584-9924-ee36e7a6d8f6,landlord,1.0
129,Farhad Abbasi,No,875,4.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,2ef5a801-c681-4584-9924-ee36e7a6d8f6,renter,1.0
130,Peter Schmidt,No,Null,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,3de8a889-4a13-4174-a62e-b95043e49f0b,landlord,1.0
131,Farhad Abbasi,No,Null,1.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,3de8a889-4a13-4174-a62e-b95043e49f0b,renter,1.0
132,Peter Schmidt,Yes,775,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,4b488df1-b5dc-4f48-8e8b-3abe5d99a33f,landlord,1.0
133,Farhad Abbasi,Yes,775,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,4b488df1-b5dc-4f48-8e8b-3abe5d99a33f,renter,1.0
134,Peter Schmidt,Yes,950,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,53703740-4e83-431b-a3d3-3754520dff80,landlord,1.0
135,Farhad Abbasi,Yes,950,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,53703740-4e83-431b-a3d3-3754520dff80,renter,1.0
136,Peter Schmidt,Yes,950,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,540e4c35-1e56-4e69-b015-ac18f1bf851f,landlord,1.0
137,Farhad Abbasi,Yes,950,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,540e4c35-1e56-4e69-b015-ac18f1bf851f,renter,1.0
138,Peter Schmidt,No,700,1.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,5852a6c1-6b17-41f8-a0c6-3c6621219006,landlord,1.0
139,Farhad Abbasi,No,Null,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,5852a6c1-6b17-41f8-a0c6-3c6621219006,renter,1.0
140,Peter Schmidt,Yes,780,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,5a1ca6f7-daad-44ac-ae20-f69f00e7c268,landlord,1.0
141,Farhad Abbasi,Yes,780,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,5a1ca6f7-daad-44ac-ae20-f69f00e7c268,renter,1.0
142,Peter Schmidt,Yes,450,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,64d42b30-134e-4f2e-80f6-06e95002324b,landlord,1.0
143,Farhad Abbasi,Yes,450,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,64d42b30-134e-4f2e-80f6-06e95002324b,renter,1.0
144,Peter Schmidt,Yes,800,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,73f33ef6-0525-4dac-bb78-3dd487b0c59c,landlord,1.0
145,Farhad Abbasi,No,Null,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,73f33ef6-0525-4dac-bb78-3dd487b0c59c,renter,1.0
146,Peter Schmidt,Yes,1.100,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,776545e9-9c2b-4079-8745-b76012cf7a42,landlord,1.0
147,Farhad Abbasi,Yes,1.100,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,776545e9-9c2b-4079-8745-b76012cf7a42,renter,1.0
148,Peter Schmidt,No,Null,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,790daae2-5cd3-4761-8dc3-24cc9719d6b4,landlord,1.0
149,Farhad Abbasi,No,Null,5.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,790daae2-5cd3-4761-8dc3-24cc9719d6b4,renter,1.0
150,Peter Schmidt,Yes,750,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,b0a626d6-f285-49cc-ac41-de32c8ccaf12,landlord,1.0
151,Farhad Abbasi,Yes,750,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,b0a626d6-f285-49cc-ac41-de32c8ccaf12,renter,1.0
152,Peter Schmidt,Yes,950,8.0,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,b373b6a9-6238-4003-b143-68d18c7a1876,landlord,1.0
153,Farhad Abbasi,Yes,950,Null,Duisburg,Yi-34B-Chat,Yi-34B-Chat,Farhad Abbasi,b373b6a9-6238-4003-b143-68d18c7a1876,renter,1.0
